Id,Name,Account_Number,Credit_Card_Number,Credit_Limit,Customer_Profile
100001,John,1608900125,4544150000004734,0,Low_Risk
100001,John,1608900125,4544150000003765,5000,Low_Risk
100002,Allen,1608900127,4544150000009750,7500,High_Risk
100002,Allen,1608900127,4544150000003971,10000,High_Risk
100003,Bob,1608900129,4544150000005802,15000,Medium_Risk
100004,Steve,1608900130,4544150000007729,5000,Low_Risk
100005,Ram,1608900131,4544150000009873,7500,Medium_Risk
100006,Kelly,1608900132,4544150000009948,10000,Medium_Risk
100007,Kate,1608900133,4544150000005081,2000,Low_Risk
100008,test,1608900134,4544150000004493,5000,Low_Risk
